Wavelength (nm)	355 nm LED	375 nm LED	405 nm LED	420 nm LED	450 nm LED	470 nm LED	490 nm LED
353.0	0.1179241814140989	0.006834618979079339	-5.082880866284427e-05	-0.00015485711825517464	-0.0003274760758323788	-0.0004954388451638351	-0.0004894773620231126
354.0	0.16017135976687816	0.008715285081721983	-9.397031424157617e-05	-0.00023049130490077988	-0.0003660884887623459	-0.0005655710482688474	-0.0005249291351085543
355.0	0.21433066354152963	0.011248208102396405	-0.00010608871468504227	-0.00026492323641718815	-0.00029275268290975177	-0.000525253501556304	-0.0004332331988158234
356.0	0.2877507482321929	0.01461027127311137	-0.0001018230377289417	-0.0002277831754556639	-0.00037497767735054146	-0.0004364871382059997	-0.0004033160907268476
357.0	0.3843726432091177	0.019521664927090482	-9.309778940964916e-05	-0.00021559659295266828	-0.0003599771716079627	-0.0005310131510866703	-0.0004544743455590067
358.0	0.4841910597174215	0.025554120152051676	-3.20210511745843e-05	-0.0001817449748887815	-0.0003588660230344387	-0.0004708756339314065	-0.0005129622918729611
359.0	0.6006574018549388	0.03412734919331137	-3.1633262360393874e-05	-0.0001861940446914604	-0.0002533069085496497	-0.00044902284600738094	-0.000495460783640909
360.0	0.7194321103055084	0.046209338263167025	-1.013718511970512e-05	-0.00019042353643102384	-0.0003340303508640456	-0.00035308668045950793	-0.0004372275370309526
361.0	0.8267711410904848	0.0620259525432683	2.8183162228547915e-05	-0.00015021461063498292	-0.00043720199746789226	-0.00035483563604026745	-0.00039823018235171783
362.0	0.9038173420809477	0.08433254632477814	0.00010409282260640982	-0.00011520236566605233	-0.0003378930937091708	-0.0004685040135365514	-0.0003611329683213806
363.0	0.9612396376376836	0.11415323272979995	0.00011688985347470788	-0.00018251872615880998	-0.0003183091001008084	-0.0004385199556873054	-0.00047152709716971966
364.0	1.0	0.1562934196713956	8.93568476671555e-05	-9.779296209033806e-05	-0.00033330960584338696	-0.0005062805383974676	-0.0004918707306702251
365.0	0.9860822783717976	0.2064068105601604	0.0001579954677789397	-0.00012139237582630286	-0.000387755885946068	-0.0005340623773086283	-0.00046973207068438244
366.0	0.9367203213329036	0.2606917777806254	0.00019861634606543194	-0.0001290331696178699	-0.0004003952009699015	-0.0005462592821964537	-0.0005047350871484922
367.0	0.8924072311759401	0.3261292808453283	0.0001855284735864927	-0.00010301578316305203	-0.00038414465308210993	-0.0005777679531566779	-0.000394340958300146
368.0	0.846068849923551	0.39568909249368234	0.00028354209637323433	-8.27048123247168e-05	-0.00020983322061051652	-0.0004978104655586944	-0.0004703304128461603
369.0	0.7901351597343584	0.45833988355265687	0.0003374447415457673	-2.4093153619816203e-05	-0.00024941788854231637	-0.000460203342154558	-0.0004469950685367591
370.0	0.7925053165440663	0.5484882465035067	0.0002772405281426301	-3.763380084537402e-05	-0.00035192134444991065	-0.0006048721862407356	-0.00043083983016870843
371.0	0.8306612919972348	0.6571664898799775	0.0003396745272273629	2.800113861828771e-07	-0.00037997784593139545	-0.0005554069608623249	-0.00041408624963887883
372.0	0.8831038579389754	0.7706329174852323	0.0004092826193746233	-4.517787572817806e-05	-0.00029830842577737826	-0.0004517332693157879	-0.000433831540977601
373.0	0.9446946998660442	0.890757941321503	0.00047307387930901976	-8.424690401673454e-06	-0.0002780299643105578	-0.00037821303707526833	-0.00036831307426273317
374.0	0.9609442143012359	0.9643650784442879	0.00046648146946777665	5.502832458894696e-06	-0.00027747439002379624	-0.0005015372976077507	-0.00046793704419904257
375.0	0.9498243978553064	1.0	0.0005306605182163692	5.734416755102386e-05	-0.000245806655678364	-0.0005208490636801459	-0.0005639709611646728
376.0	0.9034864269131083	0.9826457361639354	0.0006931440313623355	0.00010551018411049573	-0.00024636222996512303	-0.0004964552539044952	-0.0004870839933759965
377.0	0.8417162794332211	0.9391870962185362	0.000704389906973874	0.00011982458260608258	-0.00027747439002379385	-0.00047206144412883155	-0.000423061382065574
378.0	0.7689924911341571	0.8699424379373558	0.000798040905600974	0.00010705768665055941	-0.00031553122866699823	-0.0005804783764650768	-0.0004090003412637491
379.0	0.698620600841371	0.7997858056012931	0.0010661968706139478	0.0001256277171313185	-0.00029247489576637246	-0.0005676038657501501	-0.0004463967263749725
380.0	0.6181965212157596	0.7142199840999818	0.0013378429349546594	0.00022312037715531782	-0.00024247320995778634	-0.0004242902333181787	-0.0004921699017511185
381.0	0.5495901956684354	0.6381981665518325	0.0017275706932164908	0.0002768960904225271	-0.00036358840447191514	-0.0004944224364231809	-0.0004544743455589978
382.0	0.49477521621094694	0.5758812746373414	0.002277649126146216	0.00034634026690786847	-0.0003966450745342566	-0.00048696877232507076	-0.0004164796182859954
