Wavelength / nm	1	2	3
316.0	0.0	615.7932413538676	0.0
317.0	0.0	609.6283292540719	0.0
318.0	0.0	607.5657813637947	0.0
319.0	0.0	599.2995333390973	0.0
320.0	0.0	596.7550352695499	0.0
321.0	0.0	592.731733405116	0.0
322.0	0.0	590.7619631566985	0.0
323.0	0.0	585.586835597383	0.0
324.0	0.0	582.640459756851	0.0
325.0	0.0	579.5217279799065	0.0
326.0	0.0	577.6859583871641	0.0
327.0	0.0	575.3540558639024	0.0
328.0	0.0	572.3420497174938	0.0
329.0	0.0	571.01912928376	0.0
330.0	0.0	571.2379148487842	0.0
331.0	0.0	571.222129777307	0.0
332.0	0.0	568.2074273631569	0.0
333.0	0.0	565.8302094647073	0.0
334.0	0.0	569.381087582352	0.0
335.0	0.0	569.4840562149882	0.0
336.0	0.0	566.9058789034186	0.0
337.0	0.0	568.4238557748118	0.0
338.0	0.0	572.2003440837215	0.0
339.0	0.0	576.9647779553637	0.0
340.0	0.0	577.9745073397388	0.0
341.0	0.0	580.6382210003896	0.0
342.0	0.0	581.8843390401751	0.0
343.0	0.0	580.3875654282004	0.0
344.0	0.0	585.9644102421136	0.0
345.0	0.0	587.6998367981296	0.0
346.0	0.0	586.5892869546622	0.0
347.0	0.0	596.3555873988211	0.0
348.0	0.0	595.184915454982	0.0
349.0	0.0	592.3104582031638	0.0
350.0	0.0	594.8274048869392	0.0
351.0	0.0	604.5369492496034	0.0
352.0	0.0	605.0030422857358	0.0
353.0	0.0	593.0749625913321	0.0
354.0	0.0	599.3822397789984	0.0
355.0	0.0	605.9383143231162	0.0
356.0	0.0	603.991788075652	0.0
357.0	0.0	604.768243185748	0.0
358.0	0.0	608.7241391700575	0.0
359.0	0.0	602.9408372561375	0.0
360.0	0.0	603.9763458267539	0.0
361.0	0.0	606.4584269557237	0.0
362.0	0.0	607.4362467453597	0.0
363.0	0.0	615.6508330550901	0.0
364.0	0.0	609.434145273245	0.0
365.0	0.0	615.003273028311	0.0
366.0	0.0	608.2567317872031	0.0
367.0	0.0	612.892097822601	0.0
368.0	0.0	611.8254775654249	0.0
369.0	0.0	614.7019667282813	0.0
370.0	0.0	614.617040869102	0.0
